timestamp,last_close,suggestion,score,RSI,MACD,MACD_signal,SMA_50,SMA_100,BB_upper,BB_lower,reasons
2025-03-12 22:34:11,561.22,✅ 可能买入机会,3.5,61.54,-0.51,-0.73,558.45,557.05,562.64,552.98,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 22:39:12,564.19,✅ 可能买入机会,2.0,67.98,0.04,-0.58,558.57,557.17,562.96,552.75,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨; 价格触及布林带上轨，市场可能超买（卖出信号）
2025-03-12 22:44:13,560.63,✅ 可能买入机会,3.5,58.39,0.08,-0.48,558.59,557.23,562.12,553.25,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 22:49:13,559.37,✅ 可能买入机会,3.5,53.89,0.13,-0.36,558.59,557.29,561.75,553.4,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 22:54:15,561.53,✅ 可能买入机会,3.5,60.45,0.42,-0.2,558.71,557.38,562.11,553.24,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 22:59:16,560.33,✅ 可能买入机会,3.5,54.93,0.57,-0.03,558.79,557.48,562.51,553.05,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 23:04:17,557.42,✅ 可能买入机会,3.5,46.71,0.36,0.04,558.79,557.54,562.44,553.03,MACD 高于信号线，市场有上升趋势; 50均线上穿100均线，长期看涨
2025-03-12 23:09:18,554.45,🔍 持续观察,0.5,40.31,-0.14,-0.02,558.7,557.56,562.44,552.48,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:14:20,553.35,🔍 持续观察,0.5,38.02,-0.45,-0.09,558.6,557.59,562.41,552.06,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:19:21,553.84,🔍 持续观察,0.5,39.5,-0.7,-0.21,558.48,557.61,562.44,551.69,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:24:22,550.64,🔍 持续观察,0.5,33.01,-1.17,-0.41,558.3,557.57,562.81,550.62,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:29:23,551.37,🔍 持续观察,0.5,36.06,-1.47,-0.63,558.14,557.54,563.07,549.91,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:34:24,550.01,🔍 持续观察,0.5,33.41,-1.78,-0.86,557.97,557.5,563.39,549.17,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:39:25,550.97,🔍 持续观察,0.5,36.58,-1.91,-1.07,557.83,557.48,563.54,548.62,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:44:26,550.15,🔍 持续观察,0.5,34.44,-2.09,-1.28,557.66,557.43,563.71,547.82,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:49:27,552.01,🔍 持续观察,0.5,41.15,-2.04,-1.43,557.54,557.4,563.63,547.41,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
2025-03-12 23:54:28,552.67,🔍 持续观察,0.5,43.22,-1.89,-1.52,557.44,557.39,563.58,547.21,MACD 低于信号线，市场可能下跌; 50均线上穿100均线，长期看涨
